"","diff","lwr","upr","p.adj"
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 3-OLD",3889.056640625,382.91366406188,7395.19961718812,0.0291023294949807
"A8-E8-PLATE 4-OLD-A8-E8-PLATE 4-NEW",-185.896484375,-3692.03946093812,3320.24649218812,0.999997886186317
"B2-F2-PLATE 1-OLD-B2-F2-PLATE 1-NEW",-813.3994140625,-3990.21049714656,2363.41166902156,0.959196856413841
"B2-F2-PLATE 2-NEW-B2-F2-PLATE 1-NEW",-840.7897949219,-4017.60087800596,2336.02128816216,0.952121804931526
"B2-F2-PLATE 2-OLD-B2-F2-PLATE 1-NEW",-3164.78955078125,-6341.60063386531,12.0215323028101,0.0509579862496863
"B2-F2-PLATE 3-NEW-B2-F2-PLATE 1-NEW",-2457.93920898438,-5634.75029206844,718.871874099684,0.1567857258336
"B2-F2-PLATE 3-OLD-B2-F2-PLATE 1-NEW",-3491.70178222656,-6668.51286531062,-314.8906991425,0.0305762163524005
"B2-F2-PLATE 4-NEW-B2-F2-PLATE 1-NEW",-1958.94946289062,-5135.76054597469,1217.86162019344,0.3339763219012
"B2-F2-PLATE 4-OLD-B2-F2-PLATE 1-NEW",-3359.01953125,-6535.83061433406,-182.20844816594,0.0375656131906359
"B2-F2-PLATE 2-NEW-B2-F2-PLATE 1-OLD",-27.3903808594005,-3204.20146394346,3149.42070222466,0.99999999999334
